author,title,controlno,call_no
"Bowerman, Bruce L",Time series forecasting : unified concepts and computer implementation,000001364215,003 87b
"Lasiecka, I. (Irena)","Control problems for systems described by partial differential equations and applications : proceedings of the IFIP-WG 7.2 working conference, Gainesville, Florida, February 3-6, 1986",000001385017,003 87c
Royal Society (Great Britain) . Discussion Meeting,Dynamical chaos : proceedings of A Royal Society Discussion Meeting held on 4 and 5 February 1987,000001469600,003 87d
"O'Flynn, Michael",Linear systems : time domain and transform analysis,000001481038,003 87e
"O'Flynn, Michael",Linear systems : time domain and transform analysis,000001351311,003 87f
"Gleick, James",Chaos : making a new science,000001346863,003 87g
"International Symposium on Synergetics (1987 : Schloss Elmau, Bavaria)","Computational systems--natural and artificial : proceedings of the International Symposium on Synergetics at Schloss Elmau, Bavaria, May 4-9, 1987",000001856914,003 87h
"Mittra, Sitansu S","Structured techniques of system analysis, design, and implementation",000001361844,003 88a
"Bensoussan, Alain",Analysis and optimization of systems,000001375410,003 88b
"Tsay, Y. T (Yih Tsong)",Structural analysis and design of multivariable control systems : an algebraic approach,000001370917,003 88c
"Kendall, Kenneth E.",Systems analysis and design,000001370494,003 88d
"El Jai, A. (Abdelhaq)",Sensors and controls in the analysis of distributed systems,000001403830,003 88e
"Gleick, James",Chaos : making a new science,000001560238,003 88f
"Schuster, Heinz Georg",Deterministic Chaos : an Introduction,000001365145,003 89a
"Lakshmikantham, V.",Stability analysis of nonlinear systems,000001364703,003 89b
"Whitten, Jeffrey L",Systems analysis & design methods,000001364574,003 89c
"DeCarlo, Raymond A.",Linear systems : a state variable approach with numerical implementation,000001368399,003 89d
"Ziemer, Rodger E",Signals and systems : continuous and discrete,000001382907,003 89f
김만식 金滿植,Operations research 理論 : 解法과 適用,000000262290,003 90 
"Coad, Peter",Object-oriented analysis,000001365247,003 90a
"International Conference on Analysis and Optimization of Systems (9th : 1990 : Antibes, France)","Analysis and optimization of systems : proceedings of the 9th International Conference, Antibes, June 12-15, 1990",000001373354,003 90b
"Baker, Gregory L",Chaotic dynamics : an introduction,000001498738,003 90d
"Briggs, John",Turbulent mirror : an illustrated guide to chaos theory and the science of wholeness,000001261827,003 90e
"Bertalanffy, Ludwig von",일반 체계이론,000000264005,003 90가 
사야수랑 寺野壽郞,퍼지 시스템의 응용입문,000000294280,003 90갸
양해술 梁海述,(構造的)시스템 分析과 設計,000000283221,003 91
"Coad, Peter",Object-oriented analysis,000001364846,003 91a
"Marek, Milos",Chaotic behaviour of deterministic dissipative systems,000001401305,003 91b
"Willke, Helmut",Systemtheorie : eine Einführung in die Grundprobleme der Theorie sozialer Systeme,000002054790,003 91c
"IFIP Conference on System Modelling and Optimization (15th : 1992 : Zurich, Switzerland)","System modelling and optimization : proceedings of the 15th IFIP conference, Zurich, Switzerland, 2-6 September, 1991",000001397464,003 92a
"Baccelli, F.",Synchronization and linearity : an algebra for discrete event systems,000001397455,003 92b
"European Meeting on Cybernetics and Systems Research (11th : 1992 : Vienna, Austria)","Cybernetics and systems research '92 : proceedings of the eleventh European Meeting on Cybernetics and Systems Research, v. 2",000001419942,003 92c
"Iida, Kōji",Studies on the optimal search plan,000001268987,003 92d
김재주 金載周,(초보자를 위한)최적화 수법 : 실례를 중심으로,000000333736,003 92가 
"Curtain, Ruth F","Analysis and optimization of systems : state and frequency domain approaches for infinite-dimensional systems : proceedings of the 10th international conference, Sophia-Antipolis, France, June 9-12, 1992",000001397465,003 93a
이동한,시뮬레이션 이론과 실제,000000371920,003 93가 
"Gleick, James",카오스 : 현대 과학의 대혁명,000000346060,003 93갸 
"Stewart, Ian",하느님은 주사위놀이를 하는가? : 카오스의 시대가 열리고 있다,000000367926,003 93거
안택현 顔澤賢,現代系統理論,000000078132,003 93겨
"IFIP Conference on System Modelling and Optimization (16th : 1993 : Compiègne, France)","System modelling and optimization : proceedings of the 16th IFIP-TC7 conference, Compiègne, France, July 5-9, 1993",000001465562,003 94a
김상일 金相日,카오스와 문명 : [문명의 위기와 카오스 여신의 부활],000000443251,003 94가 
합원일행 合原一幸,(쉽게 읽는)카오스,000000391188,003 94갸 
향전정남 向殿政男,알기위운 퍼지이론,000001030760,003 95
"Mudge, Trevor","Proceedings of the Twenty-Eighth Hawaii International Conference on System Sciences, v. 1, Architecture",000001434398,003 95a
"Hunter, Lawrence","Proceedings of the Twenty-Eighth Hawaii International Conference on System Sciences, v. 5, Biotechnology computing",000001437543,003 95a
"Nash, Stephen G",The impact of emerging technologies on computer science and operations research,000001473491,003 95b
Southeastern Symposium on System Theory,"Proceedings of the Twenty-seventh Southeastern Symposium on System Theory, March 12-14, 1995, Mississippi State University Starkville, Mississippi",000001510297,003 95c
"Kheir, Naim A",Systems modeling and computer simulation,000001505033,003 96a
합원일행 合原一幸,응용 카오스,000000512633,003 96가 
박창근 朴昌根,시스템학,000000603340,003 97가
"Checkland, Peter",Soft systems methodology in action,000001704009,003 99a
"Lin, Yi",General systems theory : a mathematical approach,000001570210,003 99a
"Picci, Giorgio","Dynamical systems, control, coding, computer vision : new trends, interfaces, and interplay",000001560747,003 99b
"Gharajedaghi, Jamshid",Systems thinking : managing chaos and complexity : a platform for designing business architecture,000001250832,003 99c
"Chen, Chi-Tsong",Linear system theory and design,000001275035,003 99d
변증남 卞增男,선형시스템 이론 : 논리적 접근 방법에 의한 공식적 시스템의 해석과 설계,000000629903,003 99가
김도훈,시스템 다이내믹스,000000631068,003 99갸
"Ackoff, Russell Lincoln",現代ORの方法,000000214068,003 Ac57f 현
"Athans, Michael","Systems, networks, and computation : multivariable methods",000001369707,003 At35s
"Berlinski, David","On systems analysis : an essay concerning the limitations of some mathematical methods in the social, political, and biological sciences",000001376268,003 B455o
"Biles, William E",Optimization and industrial experimentation,000001374169,003 B492o
"Boffey, T. B",Graph theory in operations research,000001375029,003 B633g
"Bose, N. K. (Nirmal K.)",Applied multidimensional systems theory,000001380439,003 B651a
"Box, George E. P","Statistics for experimenters : an introduction to design, data analysis, and model building",000001380073,003 B69s
"Casti, J. L",Dynamical systems and their applications : linear theory,000001368303,003 C278d
"Collet, Pierre",Iterated maps on the interval as dynamical systems,000001367831,003 C688i
"Curtain, Ruth F",Infinite dimensional linear systems theory,000001367843,003 C94i
"Geyer, R. Felix",Dependence and inequality : a systems approach to the problems of Mexico and other developing countries,000001377707,003 D441
"Director, Stephen W.",Introduction to systems theory,000001369861,003 D628i
"Findeisen, Władysław",Control and coordination in hierarchical systems,000001369853,003 F492c
"Flavin, Matt",Fundamental concepts of information modeling,000001369849,003 F618f
"Forrester, Jay Wright",Principles of systems : text and workbook chapters 1 through 10,000001376999,003 F77p
"Frank, Paul M",Introduction to system sensitivity theory,000001376992,003 F851i
"Gillett, Billy E",Introduction to operations research : a computer-oriented algorithmic approach,000001350924,003 G413i
"Hubbard, George U",Computer-assisted data base design,000001376260,003 H861c
"John, Peter William Meredith",Statistical design and analysis of experiments,000001534258,003 J613s
"Kailath, Thomas",Linear systems,000001379826,003 K122L
"Kochenburger, Ralph J",Computer simulation of dynamic systems,000001371646,003 K811c
"Lathi, B. P. (Bhagwandas Pannalal)","Signals, systems, and controls",000001376259,003 L347s
"Luenberger, David G.","Introduction to dynamic systems : theory, models, and applications",000001371649,003 L967ia
"Mahmoud, Magdi S",Large scale systems modelling,000001377725,003 M278L
"Mesarović, Mihajlo D",General systems theory : mathematical foundations,000001376264,003 M56g
"Mohler, Ronald R",Theory and applications of variable structure systems,000001379835,003 M725t
"Narendra, Kumpati S",Frequency domain criteria for absolute stability,000001379831,003 N167f
"Nagel, Stuart S.",Operations research methods : as applied to political science and the legal process,000001537513,003 N31o
"Bensoussan, Alain","New trends in systems analysis : international symposium, Versailles, December 13-17, 1976",000001376261,003 N42
"Peterson, James Lyle",Petri net theory and the modeling of systems,000001374168,003 P442p
"Phillips, Don T",Operations research : principles and practice,000001350923,003 P541o
"Rubio, J. E",The theory of linear systems,000001373434,003 R825t
"Sain, Michael K",Introduction to algebraic system theory,000001370603,003 Sa21i
"Semprevivo, Philip C","Systems analysis : definition, process, and design",000001367935,003 Se54s2
"Siljak, Dragoslav D",Large-scale dynamic systems : stability and structure,000001377728,003 Si34L
"Singh, Madan G","Systems : decomposition, optimisation and control",000001379832,003 Sy87
"Mehra, Raman K",System identification : advances and case studies,000001374166,003 Sy87a
"Legasto, Augusto",System dynamics,000001371650,003 Sy87b
International Conference on System Dynamics (6th : 1980 : University of Paris-Dauphine),"System dynamics and the analysis of change : proceedings of the 6th International Conference on System Dynamics, University of Paris-Dauphine, November, 1980, organized by A.F.C.E.T",000001369337,003 Sy87p
"Taha, Hamdy A",Operations research : an introduction,000001460354,003 T1302
"TSetlin, Mikhail Lvovich",Automaton theory and modeling of biological systems,000001377722,003 T787a
"Vidyasagar, M. (Mathukumalli)",Nonlinear systems analysis,000001376336,003 V669n
"Weinberg, Gerald M",On the design of stable systems,000001370254,003 W43o
"Weinberg, Victor",Structured analysis,000001374131,003 W43s
이규화 李奎華,O.R,000000276942,003 이규화 오
"Kolaczyk, Eric D",Statistical analysis of network data : methods and models,000001351973,003.015195 009a
"Kolaczyk, Eric D",Statistical analysis of network data with R,000002067560,003.015195 020a
"Katayama, Tohru",Subspace methods for system identification,000001310396,003.1 005a
"Söderström, Torsten",System identification,000001380322,003.1 89a
"Ljung, Lennart",System identification : theory for the user,000001545529,003.1 99a
"Griffiths, Sian",미래는 어떻게 오는가 : 세계 최고 석학 30인과의 대화,000000687269,003.2 000가
"Armstrong, Jon Scott",Principles of forecasting : a handbook for researchers and practitioners,000001251944,003.2 001a
"Sherden, William A",차라리 동전을 던져라 : 맞지않는 예측,000000662015,003.2 001가
구숭경 歐崇敬,未來學方法論,000000078157,003.2 001갸
"Diebold, Francis X.",Elements of forecasting,000001706743,003.2 004a
"Diebold, Francis X.",Elements of forecasting,000001601544,003.2 008a
"Sherden, William A.",(미래를 알고 싶은) 욕망을 파는 사람들,000001168597,003.2 010가
"Sherden, William A",(미래를 알고 싶은) 욕망을 파는 사람들,000000772335,003.2 010가
"Coates, Joseph F. (Joseph Francis)",What futurists believe,000001569105,003.2 89a
"Montgomery, Douglas C",Forecasting and time series analysis,000001415556,003.2 90a
"Hughes, Barry",International futures : choices in the creation of a new world order,000001589857,003.2 93a
"NATO Advanced Research Workshop on Comparative Time Series Analysis (1992 : Santa Fe, N.M.)","Time series prediction : forecasting the future and understanding the past : proceedings of the NATO Advanced Research Workshop on Comparative Time Series Analysis, held in Santa Fe, New Mexico, May 14-17, 1992",000001462415,003.2 94a
"Celente, Gerald",트렌드 트래킹 : 미래를 예측하고 미래에 투자하자,000000428925,003.2 94가
장건방 張建邦,未來學,000000068878,003.2 96가
"Zeigler, Bernard P.",Theory of modeling and simulation : integrating discrete event and continuous complex dynamic systems,000001569100,003.3 000a
포항공과대학교 한국.. 과학기술부,RTS(Real-Time Simulator) 기술 개발,000000716958,003.3 000가
포항공과대학교 한국.. 과학기술부,시뮬레이션 모델링 및 가시화,000000716960,003.3 000갸
건국대학교 한국.. 과학기술부,분산 시뮬레이션 실행 환경 개발,000000717472,003.3 001가
전북대학교 한국.. 과학기술부,인공현실감 기술이 인체에 미치는 영향에 관한 연구,000000049729,003.3 001갸
"International and Interdisciplinary Conference on Modeling and Using Context (4th : 2003 : Stanford, Calif.)","Modeling and using context : 4th International and Interdisciplinary Conference, CONTEXT 2003, Stanford, CA, USA, June 23-25, 2003 : proceedings",000001301691,003.3 003a
윤석준,시뮬레이션과 시뮬레이터,000001109984,003.3 003가
한국과학기술연구원 한국.. 과학기술부,인터랙티브 몰입형 가상 환경 생성 기술,000000066408,003.3 004가
"Turner, Phil","Spaces, spatiality and technology",000001713714,003.3 005a
한국과학기술연구원,인터랙티브 몰입형 가상 환경 생성 기술에 관한 연구,000000187454,003.3 005가
고성범 高成範,SB공간 : 음인 웹에 대응하는 양의 공간,000000181057,003.3 007가
"Jones, Owen",Introduction to scientific programming and simulation using R,000001597467,003.3 009b
"Turkle, Sherry",Simulation and its discontents,000001622119,003.3 009c
"Kelton, W. David",Simulation with Arena,000001592909,003.3 010a
"Šalamon, Tomáš",Design of agent-based models : developing computer simulations for a better understanding of social processes,000001673271,003.3 011a
"Klee, Harold","Simulation of dynamic systems with MATLAB and Simulink / : Harold Klee, Randal Allen",000001724864,003.3 011a
"Fritzson, Peter A.",Introduction to modeling and simulation of technical and physical systems with Modelica,000001861032,003.3 011b
반종오,디지털 카메라와 가상현실,000000778309,003.3 011가
"Borshchev, Andrei",The big book of simulation modeling : multimethod modeling with AnyLogic 6,000001677321,003.3 013a
"Wilensky, Uri","An introduction to agent-based modeling : modeling natural, social, and engineered complex systems with NetLogo",000001831615,003.3 015a
"Rossetti, Manuel D. (Manuel David)",Simulation modeling and Arena,000001778435,003.3 016a 
"Kelton, W. David","Simio와 시뮬레이션 : 모델링, 분석, 응용",000001885227,003.3 016가
"Rossetti, Manuel D (Manuel David)",(Arena를 이용한) 시뮬레이션 모델링,000001824266,003.3 016가
"Kelton, W. David","Simio와 시뮬레이션 : 모델링, 분석, 응용",000001877306,003.3 016갸
문성수,HyperWorks,000001836746,003.3 017가
"Wilensky, Uri","ABM 개론 : Netlogo를 활용한 자연, 사회, 공학 복잡계 모델링",000001902509,003.3 017갸
"Grigoryev, Ilya",Anylogic 3일 만에 끝내기 : 시뮬레이션 모델링 속성 코스,000001942067,003.3 019가
"Grigoryev, Ilya",Anylogic 3일 만에 끝내기 : 시뮬레이션 모델링 속성 코스,000001976426,003.3 019가
박종준,(Hello!) 행위자 기반 모형,000001993854,003.3 019갸
"International Conference on Applied Human Factors and Ergonomics and the Affiliated Conferences (10th : 2019 : Washington, DC.)","Advances in human factors and simulation : proceedings of the AHFE 2019 International Conference on Human Factors and Simulation, July 24-28, 2019, Washington D.C., USA",000001965200,003.3 020a
"Gordon, Geoffrey",System simulation,000001273404,003.3 69a
"Pritsker, A. Alan B.",Introduction to simulation and SLAM,000001372539,003.3 79b
"Payne, James A. (James Andrew)",Introduction to simulation : programming techniques and methods of analysis,000001368083,003.3 82a
"Roberts, Nancy",Introduction to computer simulation : the system dynamics approach,000001399163,003.3 83a
"Brodie, Michael L","On conceptual modelling : perspectives from artificial intelligence, databases, and programming languages",000001371184,003.3 84a
"Symposium Simulationstechnik (2nd : 1984 : Vienna, Austria)","Simulationstechnik : 2. Symposium Simulationstechnik, Wien, 25.-27. September 1984 : proceedings",000001282448,003.3 84b
"Pickett, Mary S",Solid modeling by computers : from theory to applications,000001287443,003.3 84c
천왕우 千旺宇,5치 신호모델을 利用한 Gate-level logic simulation에 關한 硏究,000000291772,003.3 86
"Pritsker, A. Alan B.",Introduction to simulation and SLAM II,000001361139,003.3 86a
오상만 吳相萬,Gate level에서의 event directed論理및 故障 simulation에 關한 硏究,000000326846,003.3 86가
김재련 金在連,컴퓨터 시뮬레이션 : 離散型 模擬實驗法,000000290157,003.3 87 
"Ripley, Brian D.",Stochastic simulation,000001373185,003.3 87a
"Bratley, Paul",A guide to simulation,000001374298,003.3 87b
"Neelamkavil, Francis",Computer simulation and modelling,000001376003,003.3 87c
"Aburdene, Maurice F",Computer simulation of dynamic systems,000001388132,003.3 88a
"Hockney, Roger W",Computer simulation using particles,000001375309,003.3 88b
"Taha, Hamdy A",Simulation modeling and SIMNET,000001395135,003.3 88c
이영해 李永海,시스템 시뮬레이션,000000469908,003.3 88가 
"Pegden, Claude Dennis",Introduction to simulation using SIMAN,000001398133,003.3 90a
"Hoover, Stewart V",Simulation : a problem-solving approach,000001436974,003.3 90b
연세대학교. 산업기술연구소,시뮬레이션을 이용한 시스템 성능 분석 기법에 관한 연구 : 최종연구보고서,000000495307,003.3 90가
"Law, Averill M",Simulation modeling and analysis,000001476074,003.3 91a
"Beulens, A. J.","Optimization-based computer-aided modelling and design : proceedings of the first working conference of the new IFIP TC 7.6 Working Group,The Hague, The Netherlands, 1991",000001419092,003.3 92a
"Kang, Sungho",Strategies and methodologies for efficient and effective design verification in a simulation environment,000001534866,003.3 92b
김승연,시스템 시뮬레이션과 시뮬레이션 언어,000001035976,003.3 93
"Knepell, Peter L",Simulation validation : a confidence assessment methodology,000001382716,003.3 93a
김승연 金承淵,시스템 시뮬레이션과 시뮬레이션 언어,000000474816,003.3 93가 
"Helsel, Sandra K",가상현실과 사이버스페이스,000000420968,003.3 94가
김재련 金在連,컴퓨터 시뮬레이션 : 離散型 模擬實驗,000000474587,003.3 94갸 
Society for Computer Simulation Assocation for Computing Machinery IEEE Computer Society,"Proceedings of the 28th annual simulation symposium, April 9-13, 1995, Phoenix, Arizona",000001430972,003.3 95a
"Workshop on Parallel and Distributed Simulation (9th : 1995 : Lake Placid, New York)","Ninth Workshop on Parallel and Distributed Simulation, June 14-16, 1995, Lake Placid, New York : proceedigns",000001432604,003.3 95b
"Friedman, Linda Weiser",The simulation metamodel,000001527406,003.3 96a
"Buick, Joanna",무엇이 세계를 움직이는가? : 가상공간 사이버스페이스,000000545448,003.3 96가
"Glover, Fred",Tabu search,000001560770,003.3 97a
"Cadoz, Claude",가상현실,000000602670,003.3 97가
양성민 梁聖敏,시뮬레이션 기초,000000548784,003.3 98가
한국과학기술원 한국.. 과학기술부,가상 현실감 시스템의 개발,000000638319,003.3 98갸
"SEAL '98 (1998 : Canberra, Australia)","Simulated evolution and learning : Second Asia-Pacific Conference on Simulated Evolution and Learning, SEAL '98, Canberra, Australia, November 24-27, 1998 : selected papers",000001571315,003.3 99a
"Pegden, Claude Dennis",Introduction to simulation using SIMAN,000001486825,003.35133 95a
"Rossetti, Manuel D. (Manuel David)",(Arena를 활용한) 시스템 모델링 및 시뮬레이션,000001140835,003.3536 009가
"Kelton, W. David",Simulation with Arena,000001905907,003.3536 015a
"Kelton, W. David",Arena를 이용한 시뮬레이션,000001741999,003.3536 015가
"Kelton, W. David",ARENA를 이용한 시뮬레이션 3E,000001093839,003.35369 005가
"Page, G. F",Application of neural networks to modelling and control,000001386235,003.363 93a
"Pham, D. T","Neural networks for identification, prediction, and control",000001494798,003.363 95a
"Schroeder, Will",The visualization toolkit : an object-oriented approach to 3D graphics,000001708009,003.3666 002a
"Von Neumann, John",The computer and the brain,000001295499,003.5 000a
"Lyashko, Sergei I",Generalized optimal control of linear systems with distributed parameters,000001269695,003.5 002a
"Saltelli, A.",Sensitivity analysis in practice : a guide to assessing scientific models,000001295810,003.5 004a
"Kirk, Donald E.",Optimal control theory : an introduction,000001996096,003.5 004b
"Henrion, D.",Positive polynomials in control,000001323683,003.5 005a
